OFFICE TYPE	SITE NAME	ADDRESS	SUBURB	STATE	POSTCODE	LATITUDE	LONGITUDE	Geo Coordinate
Centrelink Customer Service Centre	Merrylands	207-209 Pitt Street	Merrylands	NSW	2160	-33.8355	150.9913	-33.8355;150.9913
Centrelink Customer Service Centre	Mt Gambier	5 Percy Street	Mt Gambier	SA	5290	-37.8284	140.78276	-37.8284;140.78276
Centrelink Customer Service Centre	Mt Gravatt	57 Sanders Street	Mt Gravatt	QLD	4122	-27.55895	153.08206	-27.55895;153.08206
Centrelink Customer Service Centre	Midland	15 Keane Street	Midland	WA	6056	-31.8884	116.00507	-31.8884;116.00507
Centrelink Customer Service Centre	Mirrabooka	24 Chesterfield Road	Mirrabooka	WA	6061	-31.8682	115.8585	-31.8682;115.8585
Centrelink Customer Service Centre	Mitchelton	55 Osborne Road	Mitchelton	QLD	4053	-27.41219	152.97728	-27.41219;152.97728
Centrelink Customer Service Centre	Mackay	"12 Greenfields Boulevard, Mount Pleasant"	Mackay	QLD	4740	-21.12251	149.15892	-21.12251;149.15892
Centrelink Customer Service Centre	Tweed Heads	100 Blundell Boulevard	Tweed Heads	NSW	2486	-28.20001	153.54273	-28.20001;153.54273
Centrelink Customer Service Centre	Modbury	96 Reservoir Road	Modbury	SA	5092	-34.83428	138.68773	-34.83428;138.68773
Centrelink Customer Service Centre	Airport West	"Shop 79, Westfield Shoppingtown, Louis St"	Airport West	VIC	3042	-37.71393	144.88732	-37.71393;144.88732
Centrelink Customer Service Centre	Mornington	332 Main Street	Mornington	VIC	3931	-38.2261	145.04346	-38.2261;145.04346
Centrelink Customer Service Centre	Mossman	23 Front Street	Mossman	QLD	4873	-16.46058	145.37318	-16.46058;145.37318
Centrelink Customer Service Centre	Mildura	112-124 Deakin Street	Mildura	VIC	3500	-34.18742	142.16028	-34.18742;142.16028
Centrelink Customer Service Centre	Maroubra	136-138 Maroubra Road	Maroubra	NSW	2035	-33.94108	151.23748	-33.94108;151.23748
Centrelink Customer Service Centre	Mareeba	228 Byrnes Street	Mareeba	QLD	4880	-16.9968	145.42247	-16.9968;145.42247
Centrelink Customer Service Centre	Morley	38 Rudloc Road	Morley	WA	6062	-31.90007	115.89983	-31.90007;115.89983
Centrelink Customer Service Centre	Marrickville	373 Illawarra Road	Marrickville	NSW	2204	-33.91473	151.15251	-33.91473;151.15251
